k,lambda,alpha,fixation,stdDev,sem
6,500,5,0.94,0.2374868417407582,0.023748684174075822
6,500,10,0.84,0.36660605559646753,0.03666060555964675
6,500,20,0.66,0.47370877129308087,0.047370877129308084
6,500,50,0.08,0.271293199325011,0.0271293199325011
6,500,100,0.01,0.09949874371066199,0.0099498743710662
6,500,200,0,0,0
6,500,500,0,0,0
8,1.1,1.1,0,0,0
8,1.1,1.5,0,0,0
8,1.1,2,0,0,0
8,1.1,5,0,0,0
8,1.1,10,0,0,0
8,1.1,20,0,0,0
8,1.1,50,0,0,0
8,1.1,100,0,0,0
8,1.1,200,0,0,0
8,1.1,500,0,0,0
8,1.5,1.1,0,0,0
8,1.5,1.5,0,0,0
8,1.5,2,0,0,0
8,1.5,5,0,0,0
8,1.5,10,0,0,0
8,1.5,20,0,0,0
8,1.5,50,0,0,0
8,1.5,100,0,0,0
8,1.5,200,0,0,0
8,1.5,500,0,0,0
8,2,1.1,0,0,0
8,2,1.5,0,0,0
8,2,2,0,0,0
8,2,5,0,0,0
8,2,10,0,0,0
8,2,20,0,0,0
8,2,50,0,0,0
8,2,100,0,0,0
8,2,200,0,0,0
8,2,500,0,0,0
8,5,1.1,0,0,0
8,5,1.5,0,0,0
8,5,2,0,0,0
8,5,5,0,0,0
8,5,10,0,0,0
8,5,20,0,0,0
8,5,50,0,0,0
8,5,100,0,0,0
8,5,200,0,0,0
8,5,500,0,0,0
8,10,1.1,0.3,0.4582575694955838,0.045825756949558386
8,10,1.5,0.08,0.2712931993250109,0.02712931993250109
8,10,2,0.03,0.17058722109231975,0.017058722109231976
8,10,5,0,0,0
8,10,10,0,0,0
8,10,20,0,0,0
8,10,50,0,0,0
8,10,100,0,0,0
8,10,200,0,0,0
8,10,500,0,0,0
8,20,1.1,0.83,0.3756327994198591,0.03756327994198591
8,20,1.5,0.61,0.48774993593028815,0.048774993593028816
8,20,2,0.39,0.48774993593028815,0.048774993593028816
8,20,5,0,0,0
8,20,10,0,0,0
8,20,20,0,0,0
